27	7	35	34	25	33	28
33	17	19	27	35	28	34
12	27	36	35	7	28	25
4	17	29	1	27	19	22
34	28	27	33	9	12	17
35	27	15	7	19	43	13
20	29	28	34	40	6	33
28	16	23	20	35	3	27
11	41	28	43	45	37	27
16	33	27	9	12	43	22
40	39	28	29	25	2	35
20	7	13	28	16	36	29
9	40	29	1	3	15	43
27	30	33	16	25	29	37
37	4	16	27	17	33	35
29	33	16	36	34	35	3
35	11	45	37	3	43	29
40	7	15	34	35	29	14
41	35	19	12	27	39	7
33	39	16	17	7	3	28
17	24	43	31	20	34	27
28	33	37	43	18	35	7
27	4	24	35	20	31	29
35	5	22	27	17	31	29
6	1	38	12	33	27	29
16	45	4	35	8	28	27
28	17	19	14	21	20	29
40	27	28	34	8	44	3
29	7	22	37	12	28	32
17	22	43	6	27	41	9
4	35	9	43	28	37	16
31	20	9	40	1	35	29
33	29	2	1	19	43	13
33	11	27	20	5	28	1
20	27	12	2	37	16	11
27	29	37	44	39	8	16
27	24	30	28	33	13	43
31	20	40	36	6	29	43
10	34	7	27	35	25	40
7	11	19	17	25	43	1
18	19	39	29	37	28	33
28	11	15	25	3	29	41
10	34	40	30	35	43	27
14	40	43	3	28	36	19
22	2	29	20	33	44	16
45	40	33	16	29	23	15
19	9	30	45	40	34	29
35	30	17	43	34	45	15
11	21	1	27	43	45	13
11	44	29	34	17	33	45
24	28	39	1	11	19	29
1	27	41	20	2	18	35
7	2	32	25	28	40	35
8	21	7	16	35	24	27
35	11	20	43	19	9	45
28	32	38	19	29	22	34
22	12	13	6	28	27	33
41	19	27	3	15	40	31
40	29	22	17	18	7	8
28	38	22	36	7	15	20
45	43	32	39	29	7	13
7	29	39	21	16	3	13
28	17	21	44	34	36	7
29	43	8	7	15	2	13
43	8	6	17	40	29	41
41	17	25	24	27	3	34
33	19	9	34	8	27	2
36	37	28	41	29	32	34
23	34	27	17	40	32	2
1	19	40	23	36	27	25
45	7	8	27	31	33	1
1	11	30	27	36	4	7
40	8	36	29	7	9	21
17	33	6	41	27	45	25
27	16	28	44	25	37	23
35	41	2	34	29	30	45
11	23	1	36	19	17	27
14	5	19	27	29	30	35
22	33	18	12	45	43	28
9	21	43	14	22	41	27
21	38	24	40	35	9	27
1	37	43	45	34	19	9
2	45	29	7	23	19	21
42	2	4	20	29	27	25
39	4	31	33	34	12	27
14	43	41	16	7	12	40
18	10	29	27	12	22	17
21	20	29	40	12	37	18
